abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Long Reach']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,55,3840,70,320,45,Grass Quill Pokémon,55,1059860,0.3,68,Mokurohモクロー,Rowlet,88.1,722,50,50,42,grass,flying,1.5,7,0
"['Overgrow', 'Long Reach']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,75,3840,70,420,45,Blade Quill Pokémon,75,1059860,0.7,78,Fukuthrowフクスロー,Dartrix,88.1,723,70,70,52,grass,flying,16.0,7,0
"['Overgrow', 'Long Reach']",1.0,2.0,1.0,0.5,1.0,0.0,2.0,2.0,2.0,0.5,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.5,107,3840,70,530,45,Arrow Quill Pokémon,75,1059860,1.6,78,Junaiperジュナイパー,Decidueye,88.1,724,100,100,70,grass,ghost,36.6,7,0
"['Blaze', 'Intimidate']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,65,3840,70,320,45,Fire Cat Pokémon,40,1059860,0.4,45,Nyabbyニャビー,Litten,88.1,725,60,40,70,fire,,4.3,7,0
"['Blaze', 'Intimidate']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,3840,70,420,45,Fire Cat Pokémon,50,1059860,0.7,65,Nyaheatニャヒート,Torracat,88.1,726,80,50,90,fire,,25.0,7,0
"['Blaze', 'Intimidate']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,115,3840,70,530,45,Heel Pokémon,90,1059860,1.8,95,Gaogaenガオガエン,Incineroar,88.1,727,80,90,60,fire,dark,83.0,7,0
"['Torrent', 'Liquid Voice']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,54,3840,70,320,45,Sea Lion Pokémon,54,1059860,0.4,50,Ashimariアシマリ,Popplio,88.1,728,66,56,40,water,,7.5,7,0
"['Torrent', 'Liquid Voice']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,69,3840,70,420,45,Pop Star Pokémon,69,1059860,0.6,60,Osyamariオシャマリ,Brionne,88.1,729,91,81,50,water,,17.5,7,0
"['Torrent', 'Liquid Voice']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,74,3840,70,530,45,Soloist Pokémon,74,1059860,1.8,80,Ashireneアシレーヌ,Primarina,88.1,730,126,116,60,water,fairy,44.0,7,0
"['Keen Eye', 'Skill Link', 'Pickup']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,75,3840,70,265,255,Woodpecker Pokémon,30,1000000,0.3,35,Tsutsukeraツツケラ,Pikipek,50.0,731,30,30,65,normal,flying,1.2,7,0
"['Keen Eye', 'Skill Link', 'Pickup']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,3840,70,355,120,Bugle Beak Pokémon,50,1000000,0.6,55,Kerarappaケララッパ,Trumbeak,50.0,732,40,50,75,normal,flying,14.8,7,0
"['Keen Eye', 'Skill Link', 'Sheer Force']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,120,3840,70,485,45,Cannon Pokémon,75,1000000,1.1,80,Dodekabashiドデカバシ,Toucannon,50.0,733,75,75,60,normal,flying,26.0,7,0
"['Stakeout', 'Strong Jaw', 'Adaptability']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,3840,70,253,255,Loitering Pokémon,30,1000000,0.4,48,Youngooseヤングース,Yungoos,50.0,734,30,30,45,normal,,6.0,7,0
"['Stakeout', 'Strong Jaw', 'Adaptability']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,3840,70,418,127,Stakeout Pokémon,60,1000000,0.7,88,Dekagooseデカグース,Gumshoos,50.0,735,55,60,45,normal,,14.2,7,0
['Swarm'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,62,3840,70,300,255,Larva Pokémon,45,1000000,0.4,47,Agojimushiアゴジムシ,Grubbin,50.0,736,55,45,46,bug,,4.4,7,0
['Battery'],1.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,82,3840,70,400,120,Battery Pokémon,95,1000000,0.5,57,Dendimushiデンヂムシ,Charjabug,50.0,737,55,75,36,bug,electric,10.5,7,0
['Levitate'],1.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,70,3840,70,500,45,Stag Beetle Pokémon,90,1000000,1.5,77,Kuwagannonクワガノン,Vikavolt,50.0,738,145,75,43,bug,electric,45.0,7,0
"['Hyper Cutter', 'Iron Fist', 'Anger Point']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,82,5120,70,338,225,Boxing Pokémon,57,1000000,0.6,47,Makenkaniマケンカニ,Crabrawler,50.0,739,42,47,63,fighting,,7.0,7,0
"['Hyper Cutter', 'Iron Fist', 'Anger Point']",0.5,0.5,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,2.0,1.0,132,5120,70,478,60,Woolly Crab Pokémon,77,1000000,1.7,97,Kekenkaniケケンカニ,Crabominable,50.0,740,62,67,43,fighting,ice,180.0,7,0
['Dancer'],0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,70,5120,70,476,45,Dancing Pokémon,70,1000000,0.6,75,Odoridori (pachipachi Style)オドリドリ,Oricorio,24.6,741,98,70,93,fire,flying,3.4,7,0
"['Honey Gather', 'Shield Dust', 'Sweet Veil']",0.5,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,45,5120,70,304,190,Bee Fly Pokémon,40,1000000,0.1,40,Abulyアブリー,Cutiefly,50.0,742,55,40,84,bug,fairy,0.2,7,0
"['Honey Gather', 'Shield Dust', 'Sweet Veil']",0.5,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,55,5120,70,464,75,Bee Fly Pokémon,60,1000000,0.2,60,Aburibbonアブリボン,Ribombee,50.0,743,95,70,124,bug,fairy,0.5,7,0
"['Keen Eye', 'Vital Spirit', 'Steadfast']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,65,3840,70,280,190,Puppy Pokémon,40,1000000,0.5,45,Iwankoイワンコ,Rockruff,50.0,744,30,40,60,rock,,9.2,7,0
"['Keen Eye', 'Sand Rush', 'Steadfast', 'Keen Eye', 'Vital Spirit', 'No Guard']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,115,3840,70,487,90,Wolf Pokémon,75,1000000,,85,Lugarugan (mahiru No Sugata)ルガルガン,Lycanroc,50.0,745,55,75,82,rock,,,7,0
['Schooling'],1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,140,3840,70,620,60,Small Fry Pokémon,130,800000,0.2,45,Yowashi (tandoku No Sugata)ヨワシ,Wishiwashi,50.0,746,140,135,30,water,,0.3,7,0
"['Merciless', 'Limber', 'Regenerator']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,53,5120,70,305,190,Brutal Star Pokémon,62,1000000,0.4,50,Hidoideヒドイデ,Mareanie,50.0,747,43,52,45,poison,water,8.0,7,0
"['Merciless', 'Limber', 'Regenerator']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,63,5120,70,495,75,Brutal Star Pokémon,152,1000000,0.7,50,Dohidoideドヒドイデ,Toxapex,50.0,748,53,142,35,poison,water,14.5,7,0
"['Own Tempo', 'Stamina', 'Inner Focus']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,385,190,Donkey Pokémon,70,1000000,1.0,70,Dorobankoドロバンコ,Mudbray,50.0,749,45,55,45,ground,,110.0,7,0
"['Own Tempo', 'Stamina', 'Inner Focus']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,125,5120,70,500,60,Draft Horse Pokémon,100,1000000,2.5,100,Banbadoroバンバドロ,Mudsdale,50.0,750,55,85,35,ground,,920.0,7,0
"['Water Bubble', 'Water Absorb']",1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,40,3840,70,269,200,Water Bubble Pokémon,52,1000000,0.3,38,Shizukumoシズクモ,Dewpider,50.0,751,40,72,27,water,bug,4.0,7,0
"['Water Bubble', 'Water Absorb']",1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,70,3840,70,454,100,Water Bubble Pokémon,92,1000000,1.8,68,Onishizukumoオニシズクモ,Araquanid,50.0,752,50,132,42,water,bug,82.0,7,0
"['Leaf Guard', 'Contrary']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,55,5120,70,250,190,Sickle Grass Pokémon,35,1000000,0.3,40,Karikiriカリキリ,Fomantis,50.0,753,50,35,35,grass,,1.5,7,0
"['Leaf Guard', 'Contrary']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,105,5120,70,480,75,Bloom Sickle Pokémon,90,1000000,0.9,70,Lalantesラランテス,Lurantis,50.0,754,80,90,45,grass,,18.5,7,0
"['Illuminate', 'Effect Spore', 'Rain Dish']",1.0,0.5,0.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5,35,5120,70,285,190,Illuminating Pokémon,55,1000000,0.2,40,Nemasyuネマシュ,Morelull,50.0,755,65,75,15,grass,fairy,1.5,7,0
"['Illuminate', 'Effect Spore', 'Rain Dish']",1.0,0.5,0.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5,45,5120,70,405,75,Illuminating Pokémon,80,1000000,1.0,60,Mashadeマシェード,Shiinotic,50.0,756,90,100,30,grass,fairy,11.5,7,0
"['Corrosion', 'Oblivious']",0.25,1.0,1.0,1.0,0.25,0.5,0.5,1.0,1.0,0.25,4.0,0.5,1.0,0.5,2.0,2.0,0.5,2.0,44,5120,70,320,120,Toxic Lizard Pokémon,40,1000000,0.6,48,Yatoumoriヤトウモリ,Salandit,88.1,757,71,40,77,poison,fire,4.8,7,0
"['Corrosion', 'Oblivious']",0.25,1.0,1.0,1.0,0.25,0.5,0.5,1.0,1.0,0.25,4.0,0.5,1.0,0.5,2.0,2.0,0.5,2.0,64,5120,70,480,45,Toxic Lizard Pokémon,60,1000000,1.2,68,Ennewtエンニュート,Salazzle,0.0,758,111,60,117,poison,fire,22.2,7,0
"['Fluffy', 'Klutz', 'Cute Charm']",0.5,0.5,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,75,3840,70,340,140,Flailing Pokémon,50,1000000,0.5,70,Nuikogumaヌイコグマ,Stufful,50.0,759,45,50,50,normal,fighting,6.8,7,0
"['Fluffy', 'Klutz', 'Unnerve']",0.5,0.5,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,125,3840,70,500,70,Strong Arm Pokémon,80,1000000,2.1,120,Kiterugumaキテルグマ,Bewear,50.0,760,55,60,60,normal,fighting,135.0,7,0
"['Leaf Guard', 'Oblivious', 'Sweet Veil']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,30,5120,70,210,235,Fruit Pokémon,38,1059860,0.3,42,Amakajiアマカジ,Bounsweet,0.0,761,30,38,32,grass,,3.2,7,0
"['Leaf Guard', 'Oblivious', 'Sweet Veil']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,40,5120,70,290,120,Fruit Pokémon,48,1059860,0.7,52,Amamaikoアママイコ,Steenee,0.0,762,40,48,62,grass,,8.2,7,0
"['Leaf Guard', 'Queenly Majesty', 'Sweet Veil']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,120,5120,70,510,45,Fruit Pokémon,98,1059860,1.2,72,Amajoアマージョ,Tsareena,0.0,763,50,98,72,grass,,21.4,7,0
"['Flower Veil', 'Triage', 'Natural Cure']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,52,5120,70,485,60,Posy Picker Pokémon,90,800000,0.1,51,Cuwawaキュワワー,Comfey,24.6,764,82,110,100,fairy,,0.3,7,0
"['Inner Focus', 'Telepathy', 'Symbiosis']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,60,5120,70,490,45,Sage Pokémon,80,1250000,1.5,90,Yareyuutanヤレユータン,Oranguru,50.0,765,90,110,60,normal,psychic,76.0,7,0
"['Receiver', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,5120,70,490,45,Teamwork Pokémon,90,1250000,2.0,100,Nagetukesaruナゲツケサル,Passimian,50.0,766,40,60,80,fighting,,82.8,7,0
['Wimp Out'],1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,35,5120,70,230,90,Turn Tail Pokémon,40,1000000,0.5,25,Kosokumushiコソクムシ,Wimpod,50.0,767,20,30,80,bug,water,12.0,7,0
['Emergency Exit'],1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,125,5120,70,530,45,Hard Scale Pokémon,140,1000000,2.0,75,Gusokumushaグソクムシャ,Golisopod,50.0,768,60,90,40,bug,water,108.0,7,0
"['Water Compaction', 'Sand Veil']",0.5,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.25,1.0,0.5,1.0,2.0,55,3840,70,320,140,Sand Heap Pokémon,80,1000000,0.5,55,Sunabaスナバァ,Sandygast,50.0,769,70,45,15,ghost,ground,70.0,7,0
"['Water Compaction', 'Sand Veil']",0.5,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.25,1.0,0.5,1.0,2.0,75,3840,70,480,60,Sand Castle Pokémon,110,1000000,1.3,85,Sirodethnaシロデスナ,Palossand,50.0,770,100,75,35,ghost,ground,250.0,7,0
"['Innards Out', 'Unaware']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,60,3840,70,410,60,Sea Cucumber Pokémon,130,800000,0.3,55,Namakobushiナマコブシ,Pyukumuku,50.0,771,30,130,5,water,,1.2,7,0
['Battle Armor'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,30720,0,534,3,Synthetic Pokémon,95,1250000,1.9,95,Type: Nullタイプ：ヌル,Type: Null,,772,95,95,59,normal,,120.5,7,0
['RKS System'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,30720,0,570,3,Synthetic Pokémon,95,1250000,2.3,95,Silvadyシルヴァディ,Silvally,,773,95,95,95,normal,,100.5,7,0
['Shields Down'],0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,100,6400,70,500,30 (Meteorite)255 (Core),Meteor Pokémon,60,1059860,0.3,60,Metenoメテノ,Minior,,774,100,60,120,rock,flying,40.0,7,0
['Comatose'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,5120,70,480,45,Drowsing Pokémon,65,1250000,0.4,65,Nekkoaraネッコアラ,Komala,50.0,775,75,95,65,normal,,19.9,7,0
['Shell Armor'],0.5,1.0,2.0,0.5,1.0,1.0,0.25,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,78,5120,70,485,70,Blast Turtle Pokémon,135,1000000,2.0,60,Bakugamesバクガメス,Turtonator,50.0,776,91,85,36,fire,dragon,212.0,7,0
"['Iron Barbs', 'Lightningrod', 'Sturdy']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,98,2560,70,435,180,Roly-Poly Pokémon,63,1000000,0.3,65,Togedemaruトゲデマル,Togedemaru,50.0,777,40,73,96,electric,steel,3.3,7,0
['Disguise'],0.25,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,90,5120,70,476,45,Disguise Pokémon,80,1000000,0.2,55,Mimikkyuミミッキュ,Mimikyu,50.0,778,50,105,96,ghost,fairy,0.7,7,0
"['Dazzling', 'Strong Jaw', 'Wonder Skin ']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,105,3840,70,475,80,Gnash Teeth Pokémon,70,1000000,0.9,68,Hagigishiriハギギシリ,Bruxish,50.0,779,70,70,92,water,psychic,19.0,7,0
"['Berserk', 'Sap Sipper', 'Cloud Nine']",1.0,1.0,2.0,0.5,2.0,2.0,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,60,5120,70,485,70,Placid Pokémon,85,1000000,3.0,78,Jijilongジジーロン,Drampa,50.0,780,135,91,36,normal,dragon,185.0,7,0
['Steelworker'],1.0,2.0,1.0,0.5,1.0,0.0,2.0,2.0,2.0,0.5,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.5,131,6400,70,517,25,Sea Creeper Pokémon,100,1000000,3.9,70,Dadarinダダリン,Dhelmise,,781,86,90,40,ghost,grass,210.0,7,0
"['Bulletproof', 'Soundproof', 'Overcoat']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,55,10240,70,300,45,Scaly Pokémon,65,1250000,0.6,45,Jyarakoジャラコ,Jangmo-o,50.0,782,45,45,45,dragon,,29.7,7,0
"['Bulletproof', 'Soundproof', 'Overcoat']",0.5,0.5,2.0,0.5,4.0,1.0,0.5,2.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,75,10240,70,420,45,Scaly Pokémon,90,1250000,1.2,55,Jyarangoジャランゴ,Hakamo-o,50.0,783,65,70,65,dragon,fighting,47.0,7,0
"['Bulletproof', 'Soundproof', 'Overcoat']",0.5,0.5,2.0,0.5,4.0,1.0,0.5,2.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,110,10240,70,600,45,Scaly Pokémon,125,1250000,1.6,75,Jyararangaジャラランガ,Kommo-o,50.0,784,100,105,85,dragon,fighting,78.2,7,0
"['Electric Surge', 'Telepathy']",0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,115,3840,70,570,3,Land Spirit Pokémon,85,1250000,1.8,70,Kapu-kokekoカプ・コケコ,Tapu Koko,,785,95,75,130,electric,fairy,20.5,7,1
"['Psychic Surge', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,85,3840,70,570,3,Land Spirit Pokémon,75,1250000,1.2,70,Kapu-tetefuカプ・テテフ,Tapu Lele,,786,130,115,95,psychic,fairy,18.6,7,1
"['Grassy Surge', 'Telepathy']",1.0,0.5,0.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5,130,3840,70,570,3,Land Spirit Pokémon,115,1250000,1.9,70,Kapu-bululカプ・ブルル,Tapu Bulu,,787,85,95,75,grass,fairy,45.5,7,1
"['Misty Surge', 'Telepathy']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,75,3840,70,570,3,Land Spirit Pokémon,115,1250000,1.3,70,Kapu-rehireカプ・レヒレ,Tapu Fini,,788,95,130,85,water,fairy,21.2,7,1
['Unaware'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,29,30720,0,200,45,Nebula Pokémon,31,1250000,0.2,43,Cosmogコスモッグ,Cosmog,,789,29,31,37,psychic,,0.1,7,1
['Sturdy'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,29,30720,0,400,45,Protostar Pokémon,131,1250000,0.1,43,Cosmovumコスモウム,Cosmoem,,790,29,131,37,psychic,,999.9,7,1
['Full Metal Body'],1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,137,30720,0,680,45,Sunne Pokémon,107,1250000,3.4,137,Solgaleoソルガレオ,Solgaleo,,791,113,89,97,psychic,steel,230.0,7,1
['Shadow Shield'],1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,113,30720,0,680,45,Moone Pokémon,89,1250000,4.0,137,Lunalaルナアーラ,Lunala,,792,137,107,97,psychic,ghost,120.0,7,1
['Beast Boost'],0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,4.0,1.0,0.5,0.25,2.0,1.0,2.0,2.0,53,30720,0,570,45,Parasite Pokémon,47,1250000,1.2,109,Uturoidウツロイド,Nihilego,,793,127,131,103,rock,poison,55.5,7,1
['Beast Boost'],0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,139,30720,0,570,25,Swollen Pokémon,139,1250000,2.4,107,Massivoonマッシブーン,Buzzwole,,794,53,53,79,bug,fighting,333.6,7,1
['Beast Boost'],0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,137,30720,0,570,255,Lissome Pokémon,37,1250000,1.8,71,Pheroacheフェローチェ,Pheromosa,,795,137,37,151,bug,fighting,25.0,7,1
['Beast Boost'],1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,89,30720,0,570,30,Glowing Pokémon,71,1250000,3.8,83,Denjyumokuデンジュモク,Xurkitree,,796,173,71,83,electric,,100.0,7,1
['Beast Boost'],0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,101,30720,0,570,25,Launch Pokémon,103,1250000,9.2,97,Tekkaguyaテッカグヤ,Celesteela,,797,107,101,61,steel,flying,999.9,7,1
['Beast Boost'],1.0,1.0,0.5,0.5,0.5,2.0,4.0,1.0,1.0,0.25,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,181,30720,0,570,255,Drawn Sword Pokémon,131,1250000,0.3,59,Kamiturugiカミツルギ,Kartana,,798,59,31,109,grass,steel,0.1,7,1
['Beast Boost'],2.0,0.5,2.0,0.5,4.0,2.0,0.5,1.0,0.5,0.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,101,30720,0,570,15,Junkivore Pokémon,53,1250000,5.5,223,Akuzikingアクジキング,Guzzlord,,799,97,53,43,dark,dragon,888.0,7,1
['Prism Armor'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,107,30720,0,600,3,Prism Pokémon,101,1250000,2.4,97,Necrozmaネクロズマ,Necrozma,,800,127,89,79,psychic,,230.0,7,1
['Soul-Heart'],0.25,0.5,0.0,1.0,0.5,1.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,95,30720,0,600,3,Artificial Pokémon,115,1250000,1.0,80,Magearnaマギアナ,Magearna,,801,130,115,65,steel,fairy,80.5,7,1
